2021-11-06 13:05:13,966 INFO    MainThread:10708 [wandb_setup.py:_flush():69] setting env: {'project': 'genre_classification_prod', 'run_group': 'dev'}
2021-11-06 13:05:13,967 INFO    MainThread:10708 [wandb_setup.py:_flush():69] setting login settings: {}
2021-11-06 13:05:13,967 INFO    MainThread:10708 [wandb_init.py:_log_setup():334] Logging user logs to /Users/ashwath.mohan/Desktop/workspace/classwork/reproducible_workflow/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/genre_classification/download/wandb/run-20211106_130513-2bycrq8t/logs/debug.log
2021-11-06 13:05:13,967 INFO    MainThread:10708 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/ashwath.mohan/Desktop/workspace/classwork/reproducible_workflow/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/genre_classification/download/wandb/run-20211106_130513-2bycrq8t/logs/debug-internal.log
2021-11-06 13:05:13,967 INFO    MainThread:10708 [wandb_init.py:init():367] calling init triggers
2021-11-06 13:05:13,967 INFO    MainThread:10708 [wandb_init.py:init():374] wandb.init called with sweep_config: {}
config: {}
2021-11-06 13:05:13,968 INFO    MainThread:10708 [wandb_init.py:init():416] starting backend
2021-11-06 13:05:13,968 INFO    MainThread:10708 [backend.py:_multiprocessing_setup():71] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-11-06 13:05:13,979 INFO    MainThread:10708 [backend.py:ensure_launched():123] starting backend process...
2021-11-06 13:05:13,983 INFO    MainThread:10708 [backend.py:ensure_launched():128] started backend process with pid: 10716
2021-11-06 13:05:13,985 INFO    MainThread:10708 [wandb_init.py:init():421] backend started and connected
2021-11-06 13:05:13,987 INFO    MainThread:10708 [wandb_init.py:init():461] updated telemetry
2021-11-06 13:05:13,988 INFO    MainThread:10708 [wandb_init.py:init():480] communicating current version
2021-11-06 13:05:14,591 INFO    MainThread:10708 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.12.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-11-06 13:05:14,591 INFO    MainThread:10708 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2021-11-06 13:05:14,814 INFO    MainThread:10708 [wandb_init.py:init():518] starting run threads in backend
2021-11-06 13:05:14,884 INFO    MainThread:10708 [wandb_run.py:_console_start():1476] atexit reg
2021-11-06 13:05:14,884 INFO    MainThread:10708 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2021-11-06 13:05:14,884 INFO    MainThread:10708 [wandb_run.py:_redirect():1344] Redirecting console.
2021-11-06 13:05:14,885 INFO    MainThread:10708 [redirect.py:install():213] install start
2021-11-06 13:05:14,885 INFO    MainThread:10708 [redirect.py:install():228] install stop
2021-11-06 13:05:14,885 INFO    MainThread:10708 [redirect.py:install():213] install start
2021-11-06 13:05:14,885 INFO    MainThread:10708 [redirect.py:install():228] install stop
2021-11-06 13:05:14,885 INFO    MainThread:10708 [wandb_run.py:_redirect():1390] Redirects installed.
2021-11-06 13:05:14,885 INFO    MainThread:10708 [wandb_init.py:init():542] run started, returning control to user process
2021-11-06 13:05:21,588 INFO    MainThread:10708 [wandb_run.py:finish():1135] finishing run ash-mohan/genre_classification_prod/2bycrq8t
